num_clients,seed,round,accuracy,loss
2,0,0,0.1006,2.306227483688452
2,0,1,0.2339,2.2846876325698706
2,0,2,0.3901,1.8629619164969593
2,0,3,0.5422,1.4258852008813487
2,0,4,0.5891,1.262037409189791
2,0,5,0.5908,1.1987811020388008
2,0,6,0.617,1.107721135448724
2,0,7,0.618,1.0575312996824708
2,0,8,0.6314,0.9885121905765595
2,0,9,0.656,0.9756570619325668
2,0,10,0.669,0.9248932581930496
2,1,0,0.0776,2.305374703087365
2,1,1,0.1,2.2923578918932344
2,1,2,0.4302,1.7963060940416475
2,1,3,0.5427,1.301838845871508
2,1,4,0.5711,1.1202236848136486
2,1,5,0.5962,1.0704327439919066
2,1,6,0.59,1.0494498792357339
2,1,7,0.6099,1.0732830939963223
2,1,8,0.6318,1.0038772093983124
2,1,9,0.6235,1.0624052346133577
2,1,10,0.6526,0.9961194232249031
2,2,0,0.0809,2.3044835904154914
2,2,1,0.1,2.2957983237866775
2,2,2,0.4372,1.844206004097058
2,2,3,0.5386,1.379986691970033
2,2,4,0.5513,1.2713337253076962
2,2,5,0.5643,1.226899001735468
2,2,6,0.5899,1.1664165969664297
2,2,7,0.6104,1.1968320367244867
2,2,8,0.6203,1.1434672118756717
2,2,9,0.6379,1.1283132451982163
2,2,10,0.647,1.0961470359240095
2,3,0,0.1,2.303780791096794
2,3,1,0.1004,2.3060712410619084
2,3,2,0.4274,2.0109608516144677
2,3,3,0.5382,1.3464796649762236
2,3,4,0.5601,1.1992342317827975
2,3,5,0.6003,1.1183651133467214
2,3,6,0.6106,1.0697015732431565
2,3,7,0.6293,0.9865346914663101
2,3,8,0.6505,0.931989700649493
2,3,9,0.6707,0.913599103879624
2,3,10,0.6719,0.8976773969091165
2,4,0,0.1448,2.302750188321732
2,4,1,0.1,2.279653953668028
2,4,2,0.4151,1.712343059408779
2,4,3,0.5516,1.2878706837995364
2,4,4,0.5743,1.1835436718151593
2,4,5,0.5902,1.1314821965968647
2,4,6,0.6131,1.0722037233864536
2,4,7,0.6188,1.0820189259303645
2,4,8,0.6231,1.0604605580480715
2,4,9,0.622,1.1226237374372756
2,4,10,0.625,1.0585745850119728
5,0,0,0.0998,2.3068903254243893
5,0,1,0.2171,2.3031760176149803
5,0,2,0.2904,1.9168582750966374
5,0,3,0.5233,1.3641680275289396
5,0,4,0.5661,1.2495942073889053
5,0,5,0.5881,1.2473256022404557
5,0,6,0.6045,1.1993881040297376
5,0,7,0.5965,1.2514107234942646
5,0,8,0.6049,1.1841258323801973
5,0,9,0.6254,1.1030249010069302
5,0,10,0.6197,1.0994623386250517
5,1,0,0.1,2.3054394188780374
5,1,1,0.1119,2.300450334914576
5,1,2,0.4128,1.848094815263352
5,1,3,0.5423,1.35964342847038
5,1,4,0.5529,1.2983233279313524
5,1,5,0.5832,1.1533944427776641
5,1,6,0.6026,1.1024544617048087
5,1,7,0.63,1.1581181444870396
5,1,8,0.613,1.11362382588676
5,1,9,0.6397,1.1367652443841623
5,1,10,0.6493,1.0544621352189647
5,2,0,0.1,2.302193207481799
5,2,1,0.1288,2.3016657227525315
5,2,2,0.2981,1.831541382085782
5,2,3,0.4682,1.4693089137062096
5,2,4,0.5574,1.209982290625953
5,2,5,0.5809,1.1513686193444859
5,2,6,0.6019,1.116623414019807
5,2,7,0.6129,1.083362097081285
5,2,8,0.5982,1.1279801357858859
5,2,9,0.618,1.0899900849253987
5,2,10,0.6247,1.083222573748031
5,3,0,0.1,2.3044813326753366
5,3,1,0.1,2.2916589918228003
5,3,2,0.3539,1.8558553308724595
5,3,3,0.5337,1.3414782698923788
5,3,4,0.5571,1.1771727478542267
5,3,5,0.5775,1.1303819718833168
5,3,6,0.5832,1.1471655046977935
5,3,7,0.6044,1.079409575119567
5,3,8,0.6408,1.052700641913155
5,3,9,0.618,1.1158899143100165
5,3,10,0.6204,1.0501960855893815
5,4,0,0.1,2.3056714527142312
5,4,1,0.1,2.295527229674708
5,4,2,0.3281,1.9018452872102634
5,4,3,0.4618,1.4856874026810398
5,4,4,0.5564,1.2187008840588336
5,4,5,0.5671,1.1865788332570475
5,4,6,0.5917,1.1611783394036583
5,4,7,0.6087,1.2174976511885183
5,4,8,0.6165,1.153520239903904
5,4,9,0.6138,1.114145971906071
5,4,10,0.6241,1.1241503397877606
10,0,0,0.1128,2.305654284291374
10,0,1,0.1004,2.2990555290977794
10,0,2,0.2959,1.955119807118425
10,0,3,0.5001,1.4212954208111992
10,0,4,0.5799,1.2362038765471584
10,0,5,0.5996,1.222021744369318
10,0,6,0.6056,1.1412192874442275
10,0,7,0.6206,1.1449938139405114
10,0,8,0.6283,1.0759233955186778
10,0,9,0.6313,1.1305784056552302
10,0,10,0.6337,1.088296351531824
10,1,0,0.1,2.304917579260878
10,1,1,0.1672,2.289211706612438
10,1,2,0.3394,1.8299938645987466
10,1,3,0.5185,1.3227407077250009
10,1,4,0.5598,1.1659925050628832
10,1,5,0.5863,1.1625683044854063
10,1,6,0.6055,1.142925230934978
10,1,7,0.6254,1.0759659206714873
10,1,8,0.6285,1.1369217207637459
10,1,9,0.6536,1.0554758834000975
10,1,10,0.6383,1.128147349761317
10,2,0,0.1005,2.3034879559526047
10,2,1,0.269,2.286754199110281
10,2,2,0.3009,1.9068089868313969
10,2,3,0.5294,1.4046730989465317
10,2,4,0.5659,1.2583276090530542
10,2,5,0.6016,1.1670175853628701
10,2,6,0.6061,1.110750306338167
10,2,7,0.6158,1.0768635877595543
10,2,8,0.6185,1.086636557651404
10,2,9,0.6247,1.1253642355100797
10,2,10,0.6393,1.035684886927041
10,3,0,0.1,2.3050083702745527
