num_clients,round,accuracy,loss
2,0,0.0999,2.3069030819609524
2,1,0.1386,2.228232989295984
2,2,0.7204,0.7542232689194786
2,3,0.7946,0.5252582743145026
2,4,0.8276,0.4677650888030902
2,5,0.8419,0.43489664793014526
2,6,0.8483,0.40879416729981144
2,7,0.8593,0.39139645956099606
2,8,0.8596,0.3905842653193032
2,9,0.8584,0.38531792737519777
2,10,0.8604,0.37603955051769467
5,0,0.1138,2.305281314606103
5,1,0.3821,2.178635341290849
5,2,0.6761,0.783014852874957
5,3,0.7869,0.5328600489483855
5,4,0.8265,0.4690411102752716
5,5,0.8398,0.44504527557200896
5,6,0.8454,0.4249160617542343
5,7,0.8483,0.409419665892665
5,8,0.856,0.3956003451642518
5,9,0.8563,0.39601623421659865
5,10,0.8517,0.3967294566833173
10,0,0.0921,2.3070453028328504
10,1,0.1052,2.279978992839972
10,2,0.6382,0.8725110688529456
10,3,0.808,0.5200558130543071
10,4,0.8336,0.4595036393822953
10,5,0.8458,0.42649730785300555
10,6,0.8507,0.4080738612828544
10,7,0.8532,0.4058871067846164
10,8,0.86,0.3933427614716295
10,9,0.8595,0.38907326260409036
10,10,0.8592,0.38997870500381
20,0,0.102,2.3034496665381776
20,1,0.2379,2.1749575762703013
20,2,0.7099,0.76997346923755
20,3,0.7939,0.5224308942358333
20,4,0.8227,0.4637482528583691
20,5,0.84,0.43496157924016826
20,6,0.8455,0.41685726912543414
20,7,0.8516,0.40656377958318296
20,8,0.8545,0.39331986026737253
20,9,0.8537,0.3869279926529708
20,10,0.8566,0.38428025626050777
